county_id,No. of Planned Parenthood clinics,No. of federally qualified health centers,No. of female contraceptive clients served at Planned Parenthood clinics,No. of female contraceptive clients served at federally qualified health centers,No. of female contraceptive clients served at health department clinics,No. of female contraceptive clients served at hospital-based clinics,No. of female contraceptive clients served at other clinics,No. of health department clinics,No. of hospital-based clinics,No. of other clinics,Total no. of female contraceptive clients served at publicly funded clinics,"Total no. of female contraceptive clients served at publicly funded clinics, younger than 20",Total no. of women aged 13-44 with potential demand for contraceptive services and supplies,Total no. of women aged 20-44 with potential demand for contraceptive services and supplies,Total publicly funded clinics
21115,0.0,0.0,0.0,0.0,290.0,0.0,0.0,1.0,0.0,0.0,290.0,50.0,2250.0,1910.0,1.0
21117,0.0,1.0,0.0,880.0,370.0,0.0,0.0,1.0,0.0,0.0,1240.0,0.0,20610.0,18330.0,2.0
21119,0.0,1.0,0.0,40.0,300.0,0.0,0.0,1.0,0.0,0.0,340.0,60.0,1580.0,1340.0,2.0
21121,0.0,2.0,0.0,1040.0,400.0,0.0,0.0,1.0,0.0,0.0,1440.0,0.0,3570.0,3080.0,3.0
21123,0.0,0.0,0.0,0.0,150.0,0.0,0.0,1.0,0.0,0.0,150.0,30.0,1540.0,1340.0,1.0
21125,0.0,0.0,0.0,0.0,420.0,0.0,0.0,1.0,0.0,0.0,420.0,60.0,6940.0,6060.0,1.0
21127,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,1.0,160.0,40.0,1560.0,1360.0,1.0
21129,0.0,1.0,0.0,30.0,190.0,0.0,0.0,1.0,0.0,0.0,210.0,50.0,580.0,490.0,2.0
21131,0.0,1.0,0.0,10.0,290.0,0.0,0.0,1.0,0.0,0.0,300.0,40.0,1040.0,910.0,2.0
21133,0.0,2.0,0.0,420.0,480.0,0.0,0.0,1.0,0.0,0.0,900.0,190.0,2160.0,1860.0,3.0
21135,0.0,1.0,0.0,1130.0,30.0,0.0,0.0,1.0,0.0,0.0,1160.0,0.0,1350.0,1160.0,2.0
21137,0.0,0.0,0.0,0.0,250.0,0.0,0.0,1.0,0.0,0.0,250.0,40.0,2670.0,2320.0,1.0
21139,0.0,0.0,0.0,0.0,110.0,0.0,0.0,1.0,0.0,0.0,110.0,20.0,910.0,790.0,1.0
21141,0.0,1.0,0.0,70.0,480.0,0.0,0.0,1.0,0.0,0.0,550.0,80.0,2650.0,2250.0,2.0
21143,0.0,0.0,0.0,0.0,80.0,0.0,0.0,1.0,0.0,0.0,80.0,10.0,540.0,450.0,1.0
21145,0.0,0.0,0.0,0.0,1460.0,0.0,0.0,1.0,0.0,0.0,1460.0,230.0,7250.0,6390.0,1.0
21147,0.0,2.0,0.0,380.0,670.0,0.0,0.0,1.0,0.0,0.0,1050.0,250.0,1630.0,1400.0,3.0
21149,0.0,1.0,0.0,20.0,100.0,0.0,0.0,1.0,0.0,0.0,120.0,20.0,960.0,830.0,2.0
